,Movie,MovieCode,Year,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
185,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30645369,"Parker, Sarah Jessica",2
186,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30805549,"Starr, Mike (I)",3
187,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30827397,"Tai, Ada",2
188,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30827398,"Tai, Arlene",2
189,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30884312,"Walters, Melora",2
190,Ed Wood_1994,21004201,1994,30114716,"Burton, Tim (I)",30926784,"Yeager, Biff (I)",3
191,Ed Wood_1994,21004201,1994,30115210,"Bush, Tommy (I)",30387714,"Howard, Rance",2
192,Ed Wood_1994,21004201,1994,30115210,"Bush, Tommy (I)",30481927,"Lebenzon, Chris",2
193,Ed Wood_1994,21004201,1994,30115210,"Bush, Tommy (I)",30530473,"Marie, Lisa (I)",2
194,Ed Wood_1994,21004201,1994,30115210,"Bush, Tommy (I)",30645369,"Parker, Sarah Jessica",2
195,Ed Wood_1994,21004201,1994,30187389,"Czapsky, Stefan",30210840,"Depp, Johnny",2
196,Ed Wood_1994,21004201,1994,30187389,"Czapsky, Stefan",30214482,"Di Novi, Denise",3
197,Ed Wood_1994,21004201,1994,30187389,"Czapsky, Stefan",30228865,"Drescher, Adam (I)",2
198,Ed Wood_1994,21004201,1994,30187389,"Czapsky, Stefan",30481927,"Lebenzon, Chris",2
199,Ed Wood_1994,21004201,1994,30187389,"Czapsky, Stefan",30926784,"Yeager, Biff (I)",3
200,Ed Wood_1994,21004201,1994,30210840,"Depp, Johnny",30214482,"Di Novi, Denise",2
201,Ed Wood_1994,21004201,1994,30210840,"Depp, Johnny",30420536,"Jones, Jeffrey (I)",2
202,Ed Wood_1994,21004201,1994,30210840,"Depp, Johnny",30471448,"Landau, Martin",2
203,Ed Wood_1994,21004201,1994,30210840,"Depp, Johnny",30481927,"Lebenzon, Chris",3
204,Ed Wood_1994,21004201,1994,30210840,"Depp, Johnny",30530473,"Marie, Lisa (I)",2
205,Ed Wood_1994,21004201,1994,30210840,"Depp, Johnny",30926784,"Yeager, Biff (I)",2
206,Ed Wood_1994,21004201,1994,30214482,"Di Novi, Denise",30228865,"Drescher, Adam (I)",2
207,Ed Wood_1994,21004201,1994,30214482,"Di Novi, Denise",30481927,"Lebenzon, Chris",2
208,Ed Wood_1994,21004201,1994,30214482,"Di Novi, Denise",30805549,"Starr, Mike (I)",3
209,Ed Wood_1994,21004201,1994,30214482,"Di Novi, Denise",30884312,"Walters, Melora",2
210,Ed Wood_1994,21004201,1994,30214482,"Di Novi, Denise",30926784,"Yeager, Biff (I)",3
211,Ed Wood_1994,21004201,1994,30228865,"Drescher, Adam (I)",30481927,"Lebenzon, Chris",2
212,Ed Wood_1994,21004201,1994,30228865,"Drescher, Adam (I)",30926784,"Yeager, Biff (I)",2
213,Ed Wood_1994,21004201,1994,30266601,"Filpi, Carmen",30420536,"Jones, Jeffrey (I)",2
214,Ed Wood_1994,21004201,1994,30387714,"Howard, Rance",30481927,"Lebenzon, Chris",2
215,Ed Wood_1994,21004201,1994,30387714,"Howard, Rance",30530473,"Marie, Lisa (I)",2
216,Ed Wood_1994,21004201,1994,30387714,"Howard, Rance",30645369,"Parker, Sarah Jessica",2
217,Ed Wood_1994,21004201,1994,30420536,"Jones, Jeffrey (I)",30471448,"Landau, Martin",2
218,Ed Wood_1994,21004201,1994,30420536,"Jones, Jeffrey (I)",30481927,"Lebenzon, Chris",2
219,Ed Wood_1994,21004201,1994,30420536,"Jones, Jeffrey (I)",30530473,"Marie, Lisa (I)",2
220,Ed Wood_1994,21004201,1994,30471448,"Landau, Martin",30481927,"Lebenzon, Chris",2
221,Ed Wood_1994,21004201,1994,30471448,"Landau, Martin",30530473,"Marie, Lisa (I)",2
222,Ed Wood_1994,21004201,1994,30481927,"Lebenzon, Chris",30530473,"Marie, Lisa (I)",4
223,Ed Wood_1994,21004201,1994,30481927,"Lebenzon, Chris",30645369,"Parker, Sarah Jessica",2
224,Ed Wood_1994,21004201,1994,30481927,"Lebenzon, Chris",30827397,"Tai, Ada",2
225,Ed Wood_1994,21004201,1994,30481927,"Lebenzon, Chris",30827398,"Tai, Arlene",2
226,Ed Wood_1994,21004201,1994,30481927,"Lebenzon, Chris",30926784,"Yeager, Biff (I)",2
227,Ed Wood_1994,21004201,1994,30530473,"Marie, Lisa (I)",30645369,"Parker, Sarah Jessica",2
228,Ed Wood_1994,21004201,1994,30805549,"Starr, Mike (I)",30884312,"Walters, Melora",2
229,Ed Wood_1994,21004201,1994,30827397,"Tai, Ada",30827398,"Tai, Arlene",2
230,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30114716,"Burton, Tim (I)",2
231,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30187389,"Czapsky, Stefan",2
232,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30214482,"Di Novi, Denise",2
233,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30243631,"Elfman, Danny",2
234,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30471205,"Lancaster, Stuart (I)",2
235,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30895051,"Welch, Bo",2
236,Edward Scissorhands_1990,21004410,1990,30098032,"Brill, Steven (I)",30926784,"Yeager, Biff (I)",2
237,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30187389,"Czapsky, Stefan",3
238,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30210840,"Depp, Johnny",4
239,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30214482,"Di Novi, Denise",6
240,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30243631,"Elfman, Danny",12
241,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30356721,"Hashimoto, Richard",3
242,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30421463,"Jones, O-Lan",2
243,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30471205,"Lancaster, Stuart (I)",2
244,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30734668,"Ryder, Winona",2
245,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30840372,"Thompson, Caroline (I)",3
246,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30895051,"Welch, Bo",3
247,Edward Scissorhands_1990,21004410,1990,30114716,"Burton, Tim (I)",30926784,"Yeager, Biff (I)",3
248,Edward Scissorhands_1990,21004410,1990,30187389,"Czapsky, Stefan",30210840,"Depp, Johnny",2
249,Edward Scissorhands_1990,21004410,1990,30187389,"Czapsky, Stefan",30214482,"Di Novi, Denise",3
250,Edward Scissorhands_1990,21004410,1990,30187389,"Czapsky, Stefan",30243631,"Elfman, Danny",2
251,Edward Scissorhands_1990,21004410,1990,30187389,"Czapsky, Stefan",30471205,"Lancaster, Stuart (I)",2
252,Edward Scissorhands_1990,21004410,1990,30187389,"Czapsky, Stefan",30895051,"Welch, Bo",2
253,Edward Scissorhands_1990,21004410,1990,30187389,"Czapsky, Stefan",30926784,"Yeager, Biff (I)",3
254,Edward Scissorhands_1990,21004410,1990,30210840,"Depp, Johnny",30214482,"Di Novi, Denise",2
255,Edward Scissorhands_1990,21004410,1990,30210840,"Depp, Johnny",30243631,"Elfman, Danny",3
256,Edward Scissorhands_1990,21004410,1990,30210840,"Depp, Johnny",30926784,"Yeager, Biff (I)",2
257,Edward Scissorhands_1990,21004410,1990,30214482,"Di Novi, Denise",30243631,"Elfman, Danny",3
258,Edward Scissorhands_1990,21004410,1990,30214482,"Di Novi, Denise",30471205,"Lancaster, Stuart (I)",2
